URL,TTL,Message
aif.ru,1,timed out
aif.ru,2,timed out
aif.ru,3,timed out
aif.ru,4,timed out
aif.ru,5,timed out
aif.ru,6,timed out
aif.ru,7,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:21 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,8,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:21 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,9,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:21 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,10,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:21 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,11,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:21 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,12,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:21 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,13,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:21 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,14,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:21 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,15,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:21 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,16,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:22 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,17,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:22 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,18,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:22 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,19,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:22 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
aif.ru,20,"HTTP/1.1 404 Not Found
Server: nginx
Date: Thu, 23 Jan 2020 06:26:22 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 564
Connection: keep-alive

<html>
<head><title>404 Not Found</title></head>
<body bgcolor=""white"">
<center><h1>404 Not Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
<!-- a padding to disable MSIE and Chrome friendly error page -->
"
