URL,TTL,Message
svoboda.org,1,timed out
svoboda.org,2,timed out
svoboda.org,3,timed out
svoboda.org,4,timed out
svoboda.org,5,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Wed, 22 Jan 2020 23:53:32 GMT
Date: Wed, 22 Jan 2020 23:53:32 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;b75e0e17&#46;1579737212&#46;1a97393
</BODY></HTML>
"
svoboda.org,6,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Wed, 22 Jan 2020 23:53:32 GMT
Date: Wed, 22 Jan 2020 23:53:32 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;b75e0e17&#46;1579737212&#46;1a973a0
</BODY></HTML>
"
svoboda.org,7,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Wed, 22 Jan 2020 23:53:32 GMT
Date: Wed, 22 Jan 2020 23:53:32 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;b75e0e17&#46;1579737212&#46;1a973b4
</BODY></HTML>
"
svoboda.org,8,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Wed, 22 Jan 2020 23:53:32 GMT
Date: Wed, 22 Jan 2020 23:53:32 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;b75e0e17&#46;1579737212&#46;1a973c3
</BODY></HTML>
"
svoboda.org,9,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Wed, 22 Jan 2020 23:53:32 GMT
Date: Wed, 22 Jan 2020 23:53:32 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;b75e0e17&#46;1579737212&#46;1a973d8
</BODY></HTML>
"
svoboda.org,10,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Wed, 22 Jan 2020 23:53:32 GMT
Date: Wed, 22 Jan 2020 23:53:32 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;b75e0e17&#46;1579737212&#46;1a973eb
</BODY></HTML>
"
svoboda.org,11,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Wed, 22 Jan 2020 23:53:32 GMT
Date: Wed, 22 Jan 2020 23:53:32 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;b75e0e17&#46;1579737212&#46;1a973f7
</BODY></HTML>
"
svoboda.org,12,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 208
Expires: Wed, 22 Jan 2020 23:53:32 GMT
Date: Wed, 22 Jan 2020 23:53:32 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;b75e0e17&#46;1579737212&#46;1a973fd
</BODY></HTML>
"
